iter	Passed	Remaining
166	1960	9780
167	1971	9763
168	1982	9749
169	1993	9733
170	2004	9719
171	2016	9706
172	2026	9689
173	2035	9663
174	2042	9630
175	2050	9598
176	2060	9580
177	2071	9566
178	2083	9554
179	2095	9546
180	2106	9530
181	2116	9513
182	2127	9500
183	2138	9483
184	2149	9468
185	2161	9457
186	2171	9439
187	2182	9426
188	2193	9410
189	2204	9398
190	2217	9390
191	2228	9379
192	2239	9365
193	2248	9342
194	2256	9315
195	2266	9298
196	2278	9285
197	2289	9272
198	2297	9248
199	2310	9241
200	2321	9228
201	2333	9217
202	2342	9197
203	2350	9173
204	2360	9155
205	2372	9143
206	2382	9127
207	2393	9114
208	2405	9105
209	2416	9091
210	2427	9075
211	2437	9060
212	2447	9043
213	2455	9017
214	2462	8990
215	2472	8974
216	2480	8951
217	2490	8932
218	2499	8914
219	2510	8900
220	2521	8887
221	2532	8873
222	2540	8853
223	2551	8838
224	2561	8822
225	2570	8803
226	2581	8790
227	2591	8775
228	2602	8761
229	2613	8748
230	2624	8735
231	2635	8724
232	2646	8712
233	2656	8694
234	2663	8669
235	2670	8644
236	2679	8626
237	2687	8605
238	2697	8587
239	2707	8574
240	2719	8563
241	2730	8551
242	2740	8538
243	2752	8528
244	2763	8515
245	2773	8501
246	2784	8489
247	2796	8479
248	2808	8469
249	2819	8459
250	2831	8448
251	2842	8437
252	2852	8421
253	2859	8399
254	2866	8375
255	2876	8359
256	2887	8349
257	2899	8337
258	2910	8327
259	2921	8315
260	2933	8305
261	2944	8293
262	2955	8283
263	2967	8273
264	2978	8262
265	2989	8249
266	3001	8238
267	3012	8228
268	3023	8214
269	3033	8202
270	3044	8188
271	3052	8170
272	3059	8147
273	3066	8124
274	3074	8105
275	3083	8089
276	3095	8079
277	3106	8068
278	3117	8057
279	3129	8046
280	3141	8037
281	3152	8027
282	3162	8013
283	3174	8003
284	3185	7992
285	3197	7982
286	3209	7972
287	3219	7960
288	3228	7942
289	3239	7931
290	3251	7921
291	3262	7911
292	3271	7893
293	3278	7871
294	3286	7853
295	3297	7842
296	3308	7831
297	3320	7821
298	3331	7810
299	3342	7798
300	3353	7786
301	3364	7776
302	3375	7765
303	3388	7756
304	3400	7747
305	3411	7737
306	3423	7727
307	3435	7718
308	3446	7708
309	3458	7697
310	3469	7686
311	3480	7674
312	3488	7655
313	3494	7635
314	3502	7616
315	3511	7601
316	3521	7587
317	3532	7576
318	3544	7566
319	3555	7554
320	3566	7544
321	3576	7531
322	3589	7523
323	3600	7512
324	3612	7503
325	3623	7492
326	3635	7481
327	3645	7469
328	3656	7457
329	3667	7446
330	3678	7435
331	3689	7422
332	3697	7405
333	3704	7386
334	3711	7366
335	3720	7353
336	3731	7342
337	3743	7332
338	3754	7320
339	3765	7309
340	3775	7296
341	3785	7283
342	3796	7271
343	3807	7261
344	3818	7250
345	3829	7239
346	3841	7228
347	3852	7218
348	3863	7207
349	3875	7197
350	3887	7187
351	3898	7177
352	3907	7161
353	3913	7141
354	3920	7123
355	3928	7107
356	3939	7094
357	3950	7083
358	3961	7072
359	3971	7061
360	3983	7050
361	3994	7040
362	4006	7030
363	4017	7020
364	4029	7010
365	4041	7000
366	4052	6989
367	4064	6979
368	4075	6968
369	4086	6958
370	4097	6946
371	4108	6935
372	4116	6919
373	4123	6901
374	4130	6884
375	4138	6868
376	4147	6853
377	4157	6840
378	4168	6829
379	4179	6819
380	4191	6809
381	4200	6796
382	4208	6779
383	4218	6767
384	4230	6758
385	4242	6748
386	4253	6737
387	4265	6727
388	4276	6717
389	4288	6707
390	4299	6696
391	4311	6687
392	4321	6674
393	4328	6657
394	4335	6640
395	4342	6622
396	4351	6609
397	4363	6599
398	4374	6589
399	4385	6578
400	4395	6565
401	4406	6555
402	4417	6543
403	4426	6530
404	4436	6518
405	4447	6506
406	4458	6496
407	4469	6484
408	4480	6474
409	4490	6462
410	4501	6451
411	4512	6439
412	4520	6424
413	4527	6407
414	4534	6391
415	4541	6375
416	4550	6362
417	4561	6351
418	4571	6339
419	4583	6329
420	4594	6318
421	4604	6306
422	4614	6294
423	4622	6279
424	4629	6263
425	4638	6250
426	4649	6238
427	4657	6224
428	4666	6211
429	4677	6199
430	4687	6188
431	4699	6178
432	4711	6169
433	4719	6155
434	4726	6138
435	4733	6123
436	4740	6107
437	4747	6091
438	4756	6078
439	4765	6065
440	4775	6052
441	4785	6041
442	4796	6030
443	4807	6019
444	4817	6007
445	4827	5996
446	4836	5983
447	4847	5973
448	4858	5962
449	4869	5952
450	4881	5942
451	4892	5931
452	4903	5921
453	4914	5910
454	4922	5896
455	4929	5880
456	4967	5902
457	4987	5901
458	5002	5896
459	5011	5882
460	5020	5869
461	5031	5858
462	5042	5848
463	5054	5838
464	5066	5828
465	5077	5818
466	5089	5808
467	5100	5798
468	5112	5788
469	5123	5777
470	5131	5763
471	5139	5748
472	5149	5737
473	5157	5722
474	5166	5710
475	5175	5697
476	5186	5686
477	5198	5676
478	5208	5665
479	5220	5655
480	5231	5644
481	5243	5634
482	5254	5624
483	5264	5612
484	5275	5602
485	5287	5591
486	5299	5582
487	5309	5571
488	5321	5560
489	5333	5551
490	5340	5536
491	5348	5522
492	5355	5507
493	5362	5493
494	5372	5480
495	5383	5470
496	5394	5459
497	5405	5449
498	5416	5437
499	5426	5426
500	5438	5416
501	5449	5406
502	5461	5396
503	5472	5385
504	5483	5375
505	5495	5364
506	5506	5354
507	5517	5343
508	5528	5333
509	5539	5322
510	5548	5309
511	5557	5296
512	5567	5285
513	5578	5274
514	5585	5259
515	5592	5245
516	5602	5233
517	5613	5223
518	5621	5210
519	5633	5199
520	5644	5189
521	5655	5178
522	5666	5168
523	5678	5157
524	5689	5147
525	5700	5137
526	5712	5127
527	5724	5117
528	5735	5107
529	5747	5096
530	5755	5083
531	5762	5069
532	5769	5054
533	5776	5041
534	5786	5029
535	5796	5018
536	5807	5007
537	5819	4997
538	5831	4987
539	5843	4977
540	5854	4966
541	5866	4957
542	5877	4946
543	5889	4936
544	5900	4926
545	5912	4916
546	5924	4906
547	5935	4895
548	5946	4885
549	5958	4874
550	5967	4862
551	5974	4849
552	5981	4835
553	5988	4820
554	5995	4807
555	6005	4796
556	6017	4785
557	6028	4775
558	6037	4763
559	6047	4751
560	6058	4740
561	6067	4728
562	6078	4718
563	6089	4707
564	6100	4697
565	6110	4685
566	6121	4674
567	6130	4662
568	6138	4649
569	6147	4637
570	6156	4625
571	6175	4620
572	6185	4609
573	6193	4596
574	6201	4583
575	6208	4569
576	6216	4557
577	6227	4546
578	6238	4535
579	6249	4525
580	6260	4515
581	6271	4504
582	6283	4494
583	6293	4483
584	6305	4473
585	6316	4462
586	6328	4452
587	6340	4442
588	6352	4432
589	6363	4421
590	6373	4410
591	6384	4400
592	6392	4387
593	6399	4374
594	6406	4360
595	6413	4347
596	6420	4334
597	6430	4322
598	6442	4312
599	6453	4302
600	6464	4291
601	6476	4281
602	6487	4271
603	6499	4260
604	6510	4250
605	6521	4240
606	6532	4229
607	6543	4219
608	6555	4208
609	6566	4198
610	6578	4188
611	6588	4177
612	6596	4164
613	6603	4151
614	6610	4138
615	6617	4125
616	6624	4112
617	6634	4101
618	6645	4090
619	6657	4080
620	6668	4069
621	6679	4059
622	6690	4048
623	6701	4038
624	6713	4027
625	6725	4017
626	6736	4007
627	6748	3997
628	6758	3986
629	6770	3976
630	6780	3965
631	6792	3955
632	6804	3945
633	6812	3932
634	6818	3919
635	6825	3906
636	6832	3893
637	6839	3880
638	6850	3870
639	6860	3859
640	6870	3847
641	6881	3837
642	6892	3826
643	6903	3816
644	6914	3805
645	6926	3795
646	6938	3785
647	6949	3775
648	6961	3764
649	6972	3754
650	6983	3743
651	6995	3733
652	7006	3723
653	7016	3711
654	7023	3699
655	7030	3686
656	7037	3674
657	7044	3661
658	7051	3648
659	7061	3637
660	7072	3626
661	7082	3616
662	7093	3605
663	7105	3595
664	7116	3585
665	7127	3574
666	7138	3563
667	7150	3553
668	7160	3543
669	7172	3532
670	7183	3522
671	7195	3511
672	7205	3501
673	7217	3490
674	7226	3479
675	7233	3467
676	7240	3454
677	7247	3441
678	7254	3429
679	7261	3417
680	7272	3406
681	7283	3396
682	7294	3385
683	7306	3375
684	7317	3365
685	7327	3354
686	7338	3343
687	7349	3332
688	7359	3322
689	7371	3311
690	7381	3300
691	7392	3290
692	7402	3279
693	7412	3268
694	7421	3257
695	7429	3245
696	7436	3232
697	7443	3220
698	7496	3228
699	7507	3217
700	7523	3209
701	7532	3197
702	7541	3185
703	7549	3174
704	7555	3161
705	7564	3150
706	7574	3139
707	7585	3128
708	7597	3118
709	7607	3107
710	7619	3096
711	7626	3084
712	7633	3072
713	7640	3060
714	7647	3048
715	7654	3036
716	7663	3024
717	7673	3013
718	7684	3003
719	7695	2992
720	7706	2982
721	7718	2971
722	7729	2961
723	7740	2950
724	7750	2939
725	7761	2929
726	7772	2918
727	7783	2908
728	7793	2897
729	7803	2886
730	7815	2875
731	7825	2865
732	7833	2853
733	7839	2841
734	7847	2829
735	7854	2817
736	7862	2805
737	7870	2794
738	7879	2782
739	7888	2771
740	7897	2760
741	7908	2749
742	7917	2738
743	7928	2728
744	7938	2717
745	7948	2706
746	7958	2695
747	7969	2684
748	7978	2673
749	7988	2662
750	7998	2651
751	8009	2641
752	8019	2630
753	8030	2619
754	8038	2608
755	8045	2596
756	8052	2584
757	8059	2573
758	8067	2561
759	8074	2549
760	8084	2539
761	8095	2528
762	8106	2518
763	8117	2507
764	8128	2496
765	8139	2486
766	8150	2475
767	8161	2465
768	8172	2454
769	8184	2444
770	8195	2434
771	8207	2423
772	8218	2413
773	8230	2403
774	8238	2391
775	8245	2380
776	8252	2368
777	8259	2356
778	8266	2345
779	8273	2333
780	8281	2322
781	8292	2311
782	8302	2301
783	8313	2290
784	8323	2279
785	8333	2268
786	8343	2258
787	8355	2247
788	8366	2237
789	8376	2226
790	8385	2215
791	8394	2204
792	8402	2193
793	8413	2182
794	8423	2172
795	8432	2161
796	8439	2149
797	8446	2138
798	8454	2126
799	8461	2115
800	8468	2104
801	8476	2092
802	8484	2081
803	8494	2070
804	8505	2060
805	8515	2049
806	8525	2038
807	8534	2028
808	8545	2017
809	8553	2006
810	8563	1995
811	8573	1985
812	8584	1974
813	8594	1963
814	8604	1953
815	8613	1942
816	8624	1931
817	8634	1921
818	8644	1910
819	8652	1899
820	8660	1888
821	8668	1877
822	8675	1865
823	8682	1854
824	8690	1843
825	8698	1832
826	8707	1821
827	8718	1810
828	8729	1800
829	8741	1790
830	8752	1779
831	8764	1769
832	8775	1759
833	8787	1749
834	8797	1738
835	8809	1728
836	8821	1717
837	8832	1707
838	8844	1697
839	8854	1686
840	8861	1675
841	8868	1664
842	8875	1652
843	8882	1641
844	8890	1630
845	8897	1619
846	8908	1609
847	8919	1598
848	8930	1588
849	8940	1577
850	8951	1567
851	8962	1556
852	8973	1546
853	8984	1535
854	8995	1525
855	9006	1515
856	9018	1504
857	9029	1494
858	9041	1484
859	9053	1473
860	9063	1463
861	9071	1452
862	9078	1441
863	9085	1430
864	9092	1419
865	9099	1407
866	9106	1396
867	9113	1385
868	9123	1375
869	9132	1364
870	9143	1354
871	9154	1343
872	9165	1333
873	9175	1322
874	9183	1311
875	9191	1301
876	9199	1290
877	9207	1279
878	9216	1268
879	9227	1258
880	9238	1247
881	9249	1237
882	9259	1226
883	9267	1216
884	9274	1205
885	9281	1194
886	9288	1183
887	9295	1172
888	9326	1164
889	9356	1156
890	9368	1146
891	9384	1136
892	9392	1125
893	9399	1114
894	9409	1103
895	9420	1093
896	9431	1083
897	9442	1072
898	9453	1062
899	9464	1051
900	9472	1040
901	9479	1029
902	9486	1019
903	9493	1008
904	9500	997
905	9507	986
906	9514	975
907	9522	964
908	9533	954
909	9544	943
910	9555	933
911	9566	923
912	9577	912
913	9589	902
914	9601	891
915	9612	881
916	9622	870
917	9633	860
918	9644	850
919	9656	839
920	9666	829
921	9674	818
922	9681	807
923	9688	796
924	9696	786
925	9703	775
926	9711	764
927	9717	753
928	9727	743
929	9738	732
930	9747	722
931	9758	711
932	9769	701
933	9780	691
934	9791	680
935	9803	670
936	9814	659
937	9826	649
938	9836	639
939	9848	628
940	9859	618
941	9870	607
942	9880	597
943	9888	586
944	9896	575
945	9903	565
946	9910	554
947	9917	544
948	9924	533
949	9931	522
950	9940	512
951	9950	501
952	9961	491
953	9973	480
954	9984	470
955	9996	460
956	10007	449
957	10018	439
958	10030	428
959	10040	418
960	10052	407
961	10063	397
962	10074	387
963	10085	376
964	10093	366
965	10101	355
966	10108	344
967	10116	334
968	10123	323
969	10130	313
970	10137	302
971	10145	292
972	10156	281
973	10168	271
974	10178	260
975	10190	250
976	10201	240
977	10213	229
978	10226	219
979	10236	208
980	10242	198
981	10253	187
982	10265	177
983	10276	167
984	10288	156
985	10296	146
986	10303	135
987	10310	125
988	10316	114
989	10323	104
990	10330	93
991	10337	83
992	10345	72
993	10354	62
994	10366	52
995	10377	41
996	10386	31
997	10396	20
998	10408	10
999	10419	0
